"parameter","fraction","units","seg_id","site_id","sample_id","replicate","date","info_type","result_type","data_provider","depth","sample_method","method_speciation","value","quantitation_limit","validator_qualifiers","interpreted_qualifiers"
"ammonia","total","ug/l","1202-9999","1202TAN0655D_DH","1202TAN0655D_DH_20200728T121500","1",2020-07-28,"ow","lab","NYSDEC",NA,"vinyl_tube","as n",0,0.01,"U","Non-detect"
"ammonia","total","ug/l","1202-9999","1202UWB0589A_C","1202UWB0589A_C_20140604T123214","1",2014-06-04,"dp","lab","NYSDEC",NA,"probe/sensor","as n",0,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1302-9999","1302BLU0122A_C","1302BLU0122A_C_20170904T094000","1",2017-09-04,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",50,21,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1301-9999","1301BUC0303_C","1301BUC0303_C_20180811T000000","1",2018-08-10,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",207,30,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1202-9999","1202TUB0605C_DH","1202TUB0605C_DH_20110622T104000","1",2011-06-22,"ow","lab","NYSDEC",NA,"unknown","as n",0,NA,"U","Non-detect"
"ammonia","total","ug/l","1302-9999","1302MACXXX1_C","1302MACXXX1_C_20230722T074500","1",2023-07-22,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",16,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0303-9999","0303LOR0009_C","0303LOR0009_C_20150928T091600","1",2015-09-28,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",31,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1308-9999","1308WILXXX1A_DH","1308WILXXX1A_DH_20180718T113000","1",2018-07-18,"dp","lab","NYSDEC",NA,"probe/sensor","as n",8.1,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1301-9999","1301BUC0303_C","1301BUC0303_C_20140921T100000","1",2014-09-21,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",0,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0501-9999","0501LOW0021_DH","0501LOW0021_DH_20180807T100000","1",2018-08-07,"dp","lab","NYSDEC",NA,"probe/sensor","as n",6.9,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0502-9999","0502BIR5140_DH","0502BIR5140_DH_20180710T151400","1",2018-07-10,"dp","lab","NYSDEC",NA,"probe/sensor","as n",10.5,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1301-9999","1301BUC0303_C","1301BUC0303_C_20200830T094000","1",2020-08-30,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",40.2,0.03,"A","Accepted"
"ammonia","total","ug/l","0801-9999","0801UWB5593_DH","0801UWB5593_DH_20120813T160000","1",2012-08-13,"dp","lab","NYSDEC",NA,"probe/sensor","as n",20,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0303-9999","0303LOR0009_C","0303LOR0009_C_20220725T092000","1",2022-07-25,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",38.276,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1701-9999","1701DON0565A_DH","1701DON0565A_DH_20180807T152929","1",2018-08-07,"dp","lab","NYSDEC",NA,"probe/sensor","as n",119,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0906-9999","0906GRA0051_C","0906GRA0051_C_20151001T000000","1",2015-09-30,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",119,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0503-9999","0503ERW0023B_DH","0503ERW0023B_DH_20170817T142500","1",2017-08-17,"dp","lab","NYSDEC",NA,"probe/sensor","as n",8,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1301-9999","1301BUC0303_C","1301BUC0303_C_20230930T140000","1",2023-09-30,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",78.457,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0303-9999","0303LOR0009_C","0303LOR0009_C_20200807T091700","1",2020-08-07,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",37,0.03,"A","Accepted"
"ammonia","total","ug/l","1701-9999","1701LIL0779_C","1701LIL0779_C_20120923T112200","1",2012-09-23,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",74,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0906-9999","0906GRA0051_C","0906GRA0051_C_20100915T093000","1",2010-09-15,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"unknown","as n",32,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1701-9999","1701LIL0779_C","1701LIL0779_C_20100815T130000","1",2010-08-15,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"unknown","as n",79,NA,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0303-9999","0303UWB5011_O","0303UWB5011_O_20150701T140000","1",2015-07-01,"ow","lab","NYSDEC",NA,"water_bottle","as n",59,0.01,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","0502-9999","0502BIR5140_DH","0502BIR5140_DH_20180806T142000","1",2018-08-06,"ow","lab","NYSDEC",NA,"vinyl_tube","as n",5.2,0.005,"A","Accepted"
"ammonia","total","ug/l","0906-9999","0906GRA0051_C","0906GRA0051_C_20220905T090000","1",2022-09-05,"ow","lab","Citizens Statewide Lake Assessment Program (CSLAP)",NA,"kemmerer","as n",94.109,0.03,"0","Data not flagged (quality control not applicable or historic data)
"
"ammonia","total","ug/l","1302-9999","1302UWB0044F_DH","1302UWB0044F_DH_20220912T110000","1",2022-09-12,"ow","lab","NYSDEC",NA,"van_dorn","as n",72,0.01,"A","Accepted"
